trackingUrn,repostedJob,title,$recipeTypes,posterId,$type,contentSource,entityUrn
urn:li:jobPosting:4051818347,true,Head of Engineering - Trading,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1053754511,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4051818347
urn:li:jobPosting:4110505872,false,Sr. Data Integration Engineer (KAFKA),[com.linkedin.deco.recipe.anonymous.Anon1578943416],825072968,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110505872
urn:li:jobPosting:4110493776,false,Lead React Engineer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],265125170,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110493776
urn:li:jobPosting:4110490940,false,Cyber Security Consultant,[com.linkedin.deco.recipe.anonymous.Anon1578943416],265125170,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110490940
urn:li:jobPosting:4110431772,false,Cybersecurity Internship,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1110496096,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110431772
urn:li:jobPosting:4110533428,false,Full Stack Developer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],900772681,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110533428
urn:li:jobPosting:4072485607,true,(Senior) Full Stack Developer with ABAP,[com.linkedin.deco.recipe.anonymous.Anon1578943416],8179821,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_CREATE,urn:li:fsd_jobPosting:4072485607
urn:li:jobPosting:4090601049,true,Senior Backend Engineer (PHP>Node.js),[com.linkedin.deco.recipe.anonymous.Anon1578943416],561143364,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4090601049
urn:li:jobPosting:4110435228,false,AI Developer Training and Internship Program,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1110496096,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110435228
urn:li:jobPosting:4110833265,false,AI & Data Engineering Study & Internship,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1110496096,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110833265
urn:li:jobPosting:4110205650,false,Senior Embedded Software Engineer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],null,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_CREATE,urn:li:fsd_jobPosting:4110205650
urn:li:jobPosting:4104133112,true,Développeur PeopleSoft/Développeuse PeopleSoft,[com.linkedin.deco.recipe.anonymous.Anon1578943416],794691736,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4104133112
urn:li:jobPosting:4110511149,false,Senior DevOps Engineer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],825072968,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110511149
urn:li:jobPosting:4110871118,false,AI & Data Science Training & Internship,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1110496096,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110871118
urn:li:jobPosting:4110452932,false,Cyber Security Analyst,[com.linkedin.deco.recipe.anonymous.Anon1578943416],null,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_CREATE,urn:li:fsd_jobPosting:4110452932
urn:li:jobPosting:4084796667,true,Senior Android Developer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],733961263,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4084796667
urn:li:jobPosting:4110533608,false,Software Engineer for Training AI Data (Python),[com.linkedin.deco.recipe.anonymous.Anon1578943416],12556957,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110533608
urn:li:jobPosting:4110892847,false,Senior Software Engineer (.Net),[com.linkedin.deco.recipe.anonymous.Anon1578943416],236394131,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110892847
urn:li:jobPosting:4110535221,false,.Net Full Stack Developer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],933630596,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110535221
urn:li:jobPosting:4110882809,false,Data Analytics Internship,[com.linkedin.deco.recipe.anonymous.Anon1578943416],1110496096,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110882809
urn:li:jobPosting:4110236606,false,DevOps Engineer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],657661009,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM_OFFLINE,urn:li:fsd_jobPosting:4110236606
urn:li:jobPosting:4110873555,false,Специалист Обработка на документи с Немски Език (Възможност за Хоум офис),[com.linkedin.deco.recipe.anonymous.Anon1578943416],1374813822,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM,urn:li:fsd_jobPosting:4110873555
urn:li:jobPosting:4110048860,false,Android Developer,[com.linkedin.deco.recipe.anonymous.Anon1578943416],837895204,com.linkedin.voyager.dash.jobs.JobPosting,JOBS_PREMIUM,urn:li:fsd_jobPosting:4110048860
